Round	Out	Left	Right	Game Type
1	209	291	0	17
2	211	289	0	17
3	204	296	0	17
4	212	288	0	17
5	229	271	0	17
6	221	279	0	17
7	221	279	0	17
8	217	283	0	17
9	206	294	0	17
10	238	262	0	17
11	207	293	0	17
12	209	291	0	17
13	219	281	0	17
14	198	302	0	17
15	209	291	0	17
16	207	293	0	17
17	216	284	0	17
18	216	284	0	17
19	210	289	1	17
20	212	288	0	17
21	221	279	0	17
22	213	287	0	17
23	207	293	0	17
24	221	278	1	17
25	214	286	0	17
26	215	284	1	17
27	232	268	0	17
28	207	292	1	17
29	224	276	0	17
30	223	277	0	17
31	233	266	1	17
32	223	275	2	17
33	204	295	1	17
34	209	285	6	17
35	223	274	3	17
36	223	274	3	17
37	213	282	5	17
38	213	280	7	17
39	221	277	2	17
40	222	274	4	17
41	220	277	3	17
42	220	276	4	17
43	214	279	7	17
44	213	281	6	17
45	214	283	3	17
46	205	289	6	17
47	222	263	15	17
48	217	271	12	17
49	223	261	16	17
50	214	267	19	17
51	225	257	18	17
52	215	264	21	17
53	214	271	15	17
54	209	268	23	17
55	217	262	21	17
56	214	265	21	17
57	217	254	29	17
58	217	257	26	17
59	220	256	24	17
60	230	237	33	17
61	210	258	32	17
62	221	246	33	17
63	215	250	35	17
64	215	249	36	17
65	206	261	33	17
66	224	240	36	17
67	216	236	48	17
68	202	243	55	17
69	209	239	52	17
70	211	241	48	17
71	215	232	53	17
72	206	242	52	17
73	226	222	52	17
74	205	237	58	17
75	213	222	65	17
76	212	222	66	17
77	220	222	58	17
78	220	217	63	17
79	226	216	58	17
80	207	215	78	17
81	218	226	56	17
82	209	215	76	17
83	211	217	72	17
84	206	219	75	17
85	220	211	69	17
86	198	222	80	17
87	211	206	83	17
88	221	208	71	17
89	221	202	77	17
90	206	216	78	17
91	226	196	78	17
92	222	215	63	17
93	206	213	81	17
94	221	201	78	17
95	218	198	84	17
96	222	203	75	17
97	224	204	72	17
98	230	198	72	17
99	216	205	79	17
100	207	195	98	17
