Round	Out	Left	Right	Game Type
1	212	117	171	11
2	226	118	156	11
3	213	109	178	11
4	221	113	166	11
5	210	111	179	11
6	209	133	158	11
7	218	118	164	11
8	211	119	170	11
9	201	129	170	11
10	220	107	173	11
11	216	116	168	11
12	207	116	177	11
13	206	131	163	11
14	202	124	174	11
15	211	123	166	11
16	208	122	170	11
17	207	123	170	11
18	229	108	163	11
19	202	117	181	11
20	216	122	162	11
21	207	126	167	11
22	207	124	169	11
23	210	135	155	11
24	202	132	166	11
25	216	120	164	11
26	215	118	167	11
27	205	128	167	11
28	207	125	168	11
29	212	114	174	11
30	198	134	168	11
31	212	122	166	11
32	224	107	169	11
33	211	121	168	11
34	224	108	168	11
35	219	106	175	11
36	214	122	164	11
37	205	123	172	11
38	212	127	161	11
39	211	122	167	11
40	211	125	164	11
41	220	116	164	11
42	224	106	170	11
43	218	114	168	11
44	210	130	160	11
45	220	108	172	11
46	221	113	166	11
47	215	109	176	11
48	218	96	186	11
49	204	139	157	11
50	214	113	173	11
51	205	126	169	11
52	215	112	173	11
53	208	130	162	11
54	207	123	170	11
55	213	125	162	11
56	203	131	166	11
57	202	126	172	11
58	208	117	175	11
59	209	119	172	11
60	210	123	167	11
61	219	117	164	11
62	212	113	175	11
63	220	120	160	11
64	213	122	165	11
65	206	121	173	11
66	207	126	167	11
67	203	128	169	11
68	197	121	182	11
69	200	142	158	11
70	207	117	176	11
71	217	117	166	11
72	214	120	166	11
73	201	133	166	11
74	215	125	160	11
75	203	130	167	11
76	206	131	163	11
77	195	140	165	11
78	231	105	164	11
79	221	115	164	11
80	198	137	165	11
81	213	119	168	11
82	215	120	165	11
83	208	127	165	11
84	200	135	165	11
85	229	96	175	11
86	202	134	164	11
87	208	124	168	11
88	209	116	175	11
89	196	134	170	11
90	207	126	167	11
91	195	141	164	11
92	204	126	170	11
93	213	120	167	11
94	206	123	171	11
95	207	120	173	11
96	213	124	163	11
97	209	128	163	11
98	207	121	172	11
99	198	141	161	11
100	217	112	171	11
