Round	Out	Left	Right	Game Type
1	456	21	23	4
2	462	15	23	4
3	461	17	22	4
4	456	18	26	4
5	458	20	22	4
6	461	22	17	4
7	459	17	24	4
8	459	20	21	4
9	466	22	12	4
10	461	25	14	4
11	457	29	14	4
12	467	22	11	4
13	460	26	14	4
14	462	22	16	4
15	459	34	7	4
16	455	33	12	4
17	462	30	8	4
18	460	30	10	4
19	458	36	6	4
20	451	38	11	4
21	455	39	6	4
22	456	36	8	4
23	466	30	4	4
24	457	40	3	4
25	458	39	3	4
26	457	40	3	4
27	463	33	4	4
28	458	42	0	4
29	463	36	1	4
30	457	42	1	4
31	464	36	0	4
32	467	32	1	4
33	462	38	0	4
34	451	49	0	4
35	459	41	0	4
36	459	41	0	4
37	467	33	0	4
38	459	41	0	4
39	462	38	0	4
40	461	39	0	4
41	461	39	0	4
42	465	35	0	4
43	459	41	0	4
44	455	45	0	4
45	462	38	0	4
46	454	46	0	4
47	454	46	0	4
48	464	36	0	4
49	461	39	0	4
50	456	44	0	4
51	457	43	0	4
52	457	43	0	4
53	457	43	0	4
54	458	42	0	4
55	458	42	0	4
56	460	40	0	4
57	462	38	0	4
58	460	40	0	4
59	471	29	0	4
60	461	39	0	4
61	465	35	0	4
62	468	32	0	4
63	455	45	0	4
64	454	46	0	4
65	465	35	0	4
66	466	34	0	4
67	466	34	0	4
68	461	39	0	4
69	462	38	0	4
70	452	48	0	4
71	455	45	0	4
72	461	39	0	4
73	459	41	0	4
74	457	43	0	4
75	463	37	0	4
76	464	36	0	4
77	455	45	0	4
78	462	38	0	4
79	463	37	0	4
80	461	39	0	4
81	462	38	0	4
82	450	50	0	4
83	455	45	0	4
84	452	48	0	4
85	459	41	0	4
86	462	38	0	4
87	461	39	0	4
88	462	38	0	4
89	466	34	0	4
90	459	41	0	4
91	455	45	0	4
92	464	36	0	4
93	458	42	0	4
94	457	43	0	4
95	459	41	0	4
96	461	39	0	4
97	452	48	0	4
98	463	37	0	4
99	464	36	0	4
100	456	44	0	4
