Round	Out	Left	Right	Game Type
1	0	329	171	5
2	0	324	176	5
3	0	325	175	5
4	0	320	180	5
5	0	325	175	5
6	0	342	158	5
7	0	333	167	5
8	0	338	162	5
9	0	337	163	5
10	0	329	171	5
11	0	337	163	5
12	0	325	175	5
13	0	313	187	5
14	0	322	178	5
15	0	332	168	5
16	0	317	183	5
17	0	326	174	5
18	0	336	164	5
19	0	337	163	5
20	0	337	163	5
21	0	318	182	5
22	0	329	171	5
23	0	325	175	5
24	0	330	170	5
25	0	324	176	5
26	0	334	166	5
27	0	326	174	5
28	0	325	175	5
29	0	325	175	5
30	0	314	186	5
31	0	337	163	5
32	0	320	180	5
33	0	330	170	5
34	0	320	180	5
35	0	325	175	5
36	0	317	183	5
37	0	323	177	5
38	0	321	179	5
39	0	313	187	5
40	0	341	159	5
41	0	327	173	5
42	0	324	176	5
43	0	329	171	5
44	0	334	166	5
45	0	317	183	5
46	0	323	177	5
47	0	332	168	5
48	0	326	174	5
49	0	330	170	5
50	0	329	171	5
51	0	331	169	5
52	0	322	178	5
53	0	330	170	5
54	0	322	178	5
55	0	321	179	5
56	0	321	179	5
57	0	329	171	5
58	0	325	175	5
59	0	309	191	5
60	0	342	158	5
61	0	333	167	5
62	0	332	168	5
63	0	334	166	5
64	0	328	172	5
65	0	332	168	5
66	0	333	167	5
67	0	331	169	5
68	0	324	176	5
69	0	324	176	5
70	0	337	163	5
71	0	324	176	5
72	0	334	166	5
73	0	319	181	5
74	0	327	173	5
75	0	335	165	5
76	0	338	162	5
77	0	327	173	5
78	0	327	173	5
79	0	332	168	5
80	0	317	183	5
81	0	314	186	5
82	0	331	169	5
83	0	325	175	5
84	0	326	174	5
85	0	337	163	5
86	0	317	183	5
87	0	331	169	5
88	0	328	172	5
89	0	317	183	5
90	0	317	183	5
91	0	328	172	5
92	0	337	163	5
93	0	328	172	5
94	0	335	165	5
95	0	315	185	5
96	0	327	173	5
97	0	328	172	5
98	0	345	155	5
99	0	341	159	5
100	0	335	165	5
