Round	Out	Left	Right	Game Type
1	213	135	152	8
2	211	129	160	8
3	210	127	163	8
4	198	143	159	8
5	205	141	154	8
6	193	157	150	8
7	208	127	165	8
8	205	141	154	8
9	207	122	171	8
10	209	129	162	8
11	207	136	157	8
12	206	143	151	8
13	204	140	156	8
14	216	133	151	8
15	222	119	159	8
16	205	128	167	8
17	199	147	154	8
18	225	119	156	8
19	205	138	157	8
20	212	135	153	8
21	197	143	160	8
22	199	144	157	8
23	196	157	147	8
24	221	125	154	8
25	212	135	153	8
26	219	126	155	8
27	200	136	164	8
28	207	132	161	8
29	217	129	154	8
30	224	131	145	8
31	217	128	155	8
32	203	140	157	8
33	209	128	163	8
34	206	149	145	8
35	208	145	147	8
36	207	140	153	8
37	208	137	155	8
38	216	127	157	8
39	213	125	162	8
40	209	137	154	8
41	196	145	159	8
42	213	143	144	8
43	198	144	158	8
44	227	115	158	8
45	213	124	163	8
46	196	150	154	8
47	211	135	154	8
48	211	140	149	8
49	205	136	159	8
50	214	126	160	8
51	204	132	164	8
52	214	126	160	8
53	226	122	152	8
54	205	128	167	8
55	211	122	167	8
56	216	125	159	8
57	218	132	150	8
58	193	155	152	8
59	207	141	152	8
60	197	149	154	8
61	192	143	165	8
62	200	140	160	8
63	216	129	155	8
64	200	147	153	8
65	201	133	166	8
66	215	134	151	8
67	208	135	157	8
68	225	133	142	8
69	208	142	150	8
70	209	133	158	8
71	206	144	150	8
72	230	119	151	8
73	202	147	151	8
74	206	136	158	8
75	211	135	154	8
76	214	139	147	8
77	202	147	151	8
78	213	142	145	8
79	210	140	150	8
80	209	138	153	8
81	209	136	155	8
82	212	129	159	8
83	217	119	164	8
84	213	130	157	8
85	203	147	150	8
86	221	123	156	8
87	218	117	165	8
88	207	135	158	8
89	203	154	143	8
90	202	147	151	8
91	222	125	153	8
92	208	129	163	8
93	215	137	148	8
94	203	144	153	8
95	209	137	154	8
96	201	135	164	8
97	213	137	150	8
98	204	141	155	8
99	199	137	164	8
100	205	137	158	8
