Round	Out	Left	Right	Game Type
1	274	226	0	20
2	275	225	0	20
3	294	206	0	20
4	298	202	0	20
5	294	206	0	20
6	287	213	0	20
7	280	220	0	20
8	275	225	0	20
9	289	211	0	20
10	296	204	0	20
11	299	201	0	20
12	295	205	0	20
13	304	196	0	20
14	290	210	0	20
15	287	213	0	20
16	288	212	0	20
17	285	215	0	20
18	291	209	0	20
19	286	214	0	20
20	295	205	0	20
21	296	204	0	20
22	294	206	0	20
23	279	221	0	20
24	280	220	0	20
25	291	209	0	20
26	282	218	0	20
27	292	208	0	20
28	306	194	0	20
29	284	216	0	20
30	289	211	0	20
31	283	217	0	20
32	295	205	0	20
33	303	197	0	20
34	282	218	0	20
35	299	201	0	20
36	278	222	0	20
37	296	204	0	20
38	278	222	0	20
39	298	202	0	20
40	303	197	0	20
41	284	216	0	20
42	289	211	0	20
43	295	205	0	20
44	287	213	0	20
45	303	197	0	20
46	286	214	0	20
47	296	204	0	20
48	293	207	0	20
49	283	217	0	20
50	276	224	0	20
51	307	193	0	20
52	286	214	0	20
53	293	207	0	20
54	294	206	0	20
55	293	207	0	20
56	291	209	0	20
57	286	214	0	20
58	292	208	0	20
59	277	223	0	20
60	285	215	0	20
61	282	218	0	20
62	292	208	0	20
63	288	212	0	20
64	294	206	0	20
65	275	225	0	20
66	284	216	0	20
67	287	213	0	20
68	293	207	0	20
69	303	197	0	20
70	288	212	0	20
71	284	216	0	20
72	292	208	0	20
73	283	217	0	20
74	288	212	0	20
75	292	208	0	20
76	290	210	0	20
77	280	220	0	20
78	296	204	0	20
79	292	208	0	20
80	299	201	0	20
81	294	206	0	20
82	295	205	0	20
83	296	204	0	20
84	279	221	0	20
85	299	201	0	20
86	292	208	0	20
87	312	188	0	20
88	296	204	0	20
89	300	200	0	20
90	279	221	0	20
91	284	215	1	20
92	308	192	0	20
93	283	216	1	20
94	290	210	0	20
95	290	210	0	20
96	303	197	0	20
97	299	201	0	20
98	297	203	0	20
99	284	216	0	20
100	288	211	1	20
