Round	Out	Left	Right	Game Type
1	225	275	0	16
2	221	279	0	16
3	217	283	0	16
4	224	276	0	16
5	231	269	0	16
6	213	287	0	16
7	222	278	0	16
8	223	277	0	16
9	232	268	0	16
10	217	283	0	16
11	223	277	0	16
12	229	271	0	16
13	209	291	0	16
14	223	277	0	16
15	205	295	0	16
16	227	273	0	16
17	223	277	0	16
18	224	276	0	16
19	216	284	0	16
20	221	279	0	16
21	225	275	0	16
22	220	280	0	16
23	219	281	0	16
24	226	274	0	16
25	233	267	0	16
26	200	300	0	16
27	225	275	0	16
28	236	264	0	16
29	213	287	0	16
30	216	284	0	16
31	217	283	0	16
32	222	278	0	16
33	239	261	0	16
34	220	280	0	16
35	217	283	0	16
36	215	285	0	16
37	233	267	0	16
38	210	290	0	16
39	216	284	0	16
40	223	277	0	16
41	219	281	0	16
42	225	275	0	16
43	210	290	0	16
44	231	269	0	16
45	213	287	0	16
46	254	246	0	16
47	215	285	0	16
48	219	281	0	16
49	228	272	0	16
50	218	282	0	16
51	238	262	0	16
52	223	277	0	16
53	227	273	0	16
54	222	278	0	16
55	238	262	0	16
56	214	286	0	16
57	226	274	0	16
58	229	271	0	16
59	213	287	0	16
60	231	269	0	16
61	232	268	0	16
62	218	282	0	16
63	237	263	0	16
64	228	272	0	16
65	224	276	0	16
66	218	282	0	16
67	213	287	0	16
68	206	294	0	16
69	224	276	0	16
70	225	275	0	16
71	225	275	0	16
72	214	286	0	16
73	227	273	0	16
74	228	272	0	16
75	220	280	0	16
76	215	285	0	16
77	231	269	0	16
78	219	281	0	16
79	221	279	0	16
80	236	264	0	16
81	221	279	0	16
82	230	270	0	16
83	221	279	0	16
84	210	290	0	16
85	224	276	0	16
86	220	280	0	16
87	223	277	0	16
88	222	278	0	16
89	227	273	0	16
90	219	281	0	16
91	232	268	0	16
92	211	289	0	16
93	225	275	0	16
94	202	298	0	16
95	215	285	0	16
96	202	298	0	16
97	215	285	0	16
98	226	274	0	16
99	216	284	0	16
100	226	274	0	16
