Round	Out	Left	Right	Game Type
1	0	430	70	15
2	0	436	64	15
3	0	440	60	15
4	0	421	79	15
5	0	436	64	15
6	0	435	65	15
7	0	438	62	15
8	0	437	63	15
9	0	427	73	15
10	0	447	53	15
11	0	432	68	15
12	0	439	61	15
13	0	441	59	15
14	0	436	64	15
15	0	438	62	15
16	0	435	65	15
17	0	432	68	15
18	0	423	77	15
19	0	426	74	15
20	0	436	64	15
21	0	436	64	15
22	0	428	72	15
23	0	430	70	15
24	0	436	64	15
25	0	431	69	15
26	0	445	55	15
27	0	427	73	15
28	0	427	73	15
29	0	441	59	15
30	0	432	68	15
31	0	437	63	15
32	0	430	70	15
33	0	439	61	15
34	0	434	66	15
35	0	437	63	15
36	0	431	69	15
37	0	441	59	15
38	0	433	67	15
39	0	430	70	15
40	0	432	68	15
41	0	430	70	15
42	0	431	69	15
43	0	423	77	15
44	0	440	60	15
45	0	438	62	15
46	0	436	64	15
47	0	432	68	15
48	0	434	66	15
49	0	440	60	15
50	0	436	64	15
51	0	430	70	15
52	0	432	68	15
53	0	433	67	15
54	0	438	62	15
55	0	432	68	15
56	0	442	58	15
57	0	437	63	15
58	0	431	69	15
59	0	430	70	15
60	0	432	68	15
61	0	429	71	15
62	0	437	63	15
63	0	432	68	15
64	0	431	69	15
65	0	434	66	15
66	0	437	63	15
67	0	441	59	15
68	0	435	65	15
69	0	432	68	15
70	0	437	63	15
71	0	430	70	15
72	0	431	69	15
73	0	439	61	15
74	0	431	69	15
75	0	433	67	15
76	0	432	68	15
77	0	436	64	15
78	0	430	70	15
79	0	436	64	15
80	0	440	60	15
81	0	437	63	15
82	0	438	62	15
83	0	428	72	15
84	0	432	68	15
85	0	434	66	15
86	0	433	67	15
87	0	437	63	15
88	0	437	63	15
89	0	436	64	15
90	0	426	74	15
91	0	432	68	15
92	0	433	67	15
93	0	434	66	15
94	0	431	69	15
95	0	441	59	15
96	0	431	69	15
97	0	437	63	15
98	0	438	62	15
99	0	431	69	15
100	0	437	63	15
