Round	Out	Left	Right	Game Type
1	33	417	50	13
2	37	420	43	13
3	32	432	36	13
4	38	431	31	13
5	32	446	22	13
6	42	438	20	13
7	30	455	15	13
8	36	451	13	13
9	35	456	9	13
10	42	451	7	13
11	25	467	8	13
12	35	459	6	13
13	26	468	6	13
14	37	459	4	13
15	42	452	6	13
16	34	458	8	13
17	33	458	9	13
18	31	464	5	13
19	32	459	9	13
20	33	458	9	13
21	45	449	6	13
22	37	458	5	13
23	35	460	5	13
24	35	459	6	13
25	36	454	10	13
26	38	459	3	13
27	35	458	7	13
28	42	455	3	13
29	38	457	5	13
30	31	466	3	13
31	38	459	3	13
32	43	453	4	13
33	24	472	4	13
34	31	465	4	13
35	38	459	3	13
36	41	457	2	13
37	37	456	7	13
38	40	455	5	13
39	36	462	2	13
40	33	462	5	13
41	37	460	3	13
42	31	465	4	13
43	37	460	3	13
44	33	463	4	13
45	36	463	1	13
46	34	462	4	13
47	31	467	2	13
48	30	466	4	13
49	39	457	4	13
50	39	457	4	13
51	30	466	4	13
52	35	461	4	13
53	42	453	5	13
54	39	459	2	13
55	40	456	4	13
56	41	455	4	13
57	31	464	5	13
58	36	462	2	13
59	40	457	3	13
60	36	459	5	13
61	35	459	6	13
62	34	462	4	13
63	37	459	4	13
64	38	459	3	13
65	41	458	1	13
66	36	460	4	13
67	40	459	1	13
68	39	458	3	13
69	38	461	1	13
70	36	460	4	13
71	35	464	1	13
72	30	468	2	13
73	35	463	2	13
74	37	461	2	13
75	36	461	3	13
76	30	466	4	13
77	36	461	3	13
78	31	468	1	13
79	34	465	1	13
80	29	469	2	13
81	38	460	2	13
82	32	464	4	13
83	42	456	2	13
84	28	469	3	13
85	45	453	2	13
86	37	461	2	13
87	39	461	0	13
88	36	462	2	13
89	37	459	4	13
90	43	454	3	13
91	37	463	0	13
92	37	462	1	13
93	36	463	1	13
94	35	464	1	13
95	40	458	2	13
96	38	461	1	13
97	31	468	1	13
98	30	469	1	13
99	39	460	1	13
100	28	471	1	13
