Round	Out	Left	Right	Game Type
1	224	109	167	3
2	241	119	140	3
3	238	131	131	3
4	221	130	149	3
5	224	133	143	3
6	228	130	142	3
7	218	120	162	3
8	226	137	137	3
9	221	141	138	3
10	239	154	107	3
11	227	140	133	3
12	232	148	120	3
13	253	160	87	3
14	225	169	106	3
15	222	171	107	3
16	227	170	103	3
17	229	181	90	3
18	209	179	112	3
19	226	170	104	3
20	227	174	99	3
21	225	195	80	3
22	231	182	87	3
23	235	184	81	3
24	238	200	62	3
25	232	195	73	3
26	226	212	62	3
27	235	198	67	3
28	214	209	77	3
29	216	220	64	3
30	239	205	56	3
31	226	226	48	3
32	215	238	47	3
33	217	241	42	3
34	215	235	50	3
35	223	219	58	3
36	232	224	44	3
37	236	230	34	3
38	227	230	43	3
39	225	236	39	3
40	219	246	35	3
41	220	239	41	3
42	222	241	37	3
43	218	246	36	3
44	224	241	35	3
45	236	238	26	3
46	235	237	28	3
47	224	258	18	3
48	228	252	20	3
49	222	259	19	3
50	235	249	16	3
51	226	261	13	3
52	235	255	10	3
53	227	260	13	3
54	229	262	9	3
55	226	263	11	3
56	227	262	11	3
57	225	260	15	3
58	226	268	6	3
59	223	271	6	3
60	234	257	9	3
61	226	271	3	3
62	210	286	4	3
63	230	263	7	3
64	227	267	6	3
65	241	256	3	3
66	244	254	2	3
67	225	271	4	3
68	232	266	2	3
69	221	275	4	3
70	238	262	0	3
71	228	268	4	3
72	236	263	1	3
73	227	272	1	3
74	226	273	1	3
75	237	262	1	3
76	231	269	0	3
77	223	277	0	3
78	242	257	1	3
79	216	284	0	3
80	229	271	0	3
81	223	277	0	3
82	229	271	0	3
83	223	277	0	3
84	220	280	0	3
85	229	271	0	3
86	226	274	0	3
87	229	271	0	3
88	209	291	0	3
89	231	268	1	3
90	231	269	0	3
91	226	273	1	3
92	246	254	0	3
93	233	267	0	3
94	226	274	0	3
95	220	280	0	3
96	248	252	0	3
97	222	278	0	3
98	222	278	0	3
99	224	276	0	3
100	221	279	0	3
