Round	Out	Left	Right	Game Type
1	107	261	132	7
2	96	277	127	7
3	90	254	156	7
4	101	271	128	7
5	114	258	128	7
6	106	264	130	7
7	94	277	129	7
8	100	263	137	7
9	102	253	145	7
10	103	267	130	7
11	95	277	128	7
12	113	259	128	7
13	109	268	123	7
14	89	273	138	7
15	102	256	142	7
16	101	268	131	7
17	105	265	130	7
18	100	271	129	7
19	105	262	133	7
20	99	266	135	7
21	112	252	136	7
22	109	259	132	7
23	100	260	140	7
24	79	288	133	7
25	112	264	124	7
26	100	265	135	7
27	90	281	129	7
28	94	254	152	7
29	112	257	131	7
30	99	269	132	7
31	103	267	130	7
32	105	258	137	7
33	97	275	128	7
34	105	256	139	7
35	124	246	130	7
36	105	253	142	7
37	118	242	140	7
38	98	269	133	7
39	106	253	141	7
40	107	251	142	7
41	103	267	130	7
42	105	255	140	7
43	103	273	124	7
44	120	254	126	7
45	88	274	138	7
46	93	267	140	7
47	120	240	140	7
48	104	250	146	7
49	100	251	149	7
50	100	263	137	7
51	105	254	141	7
52	116	241	143	7
53	107	261	132	7
54	95	262	143	7
55	99	267	134	7
56	116	242	142	7
57	98	262	140	7
58	89	271	140	7
59	106	258	136	7
60	114	268	118	7
61	105	283	112	7
62	101	266	133	7
63	97	277	126	7
64	101	255	144	7
65	107	251	142	7
66	111	249	140	7
67	90	262	148	7
68	105	248	147	7
69	92	266	142	7
70	93	252	155	7
71	108	256	136	7
72	107	263	130	7
73	99	275	126	7
74	101	261	138	7
75	109	256	135	7
76	103	272	125	7
77	98	265	137	7
78	102	252	146	7
79	104	261	135	7
80	103	264	133	7
81	126	250	124	7
82	92	271	137	7
83	96	272	132	7
84	108	263	129	7
85	112	254	134	7
86	101	260	139	7
87	121	246	133	7
88	99	264	137	7
89	110	263	127	7
90	89	276	135	7
91	106	251	143	7
92	116	254	130	7
93	107	260	133	7
94	120	254	126	7
95	122	243	135	7
96	84	268	148	7
97	103	245	152	7
98	111	260	129	7
99	112	247	141	7
100	113	260	127	7
