Round	Out	Left	Right	Game Type
1	17	365	118	2
2	20	395	85	2
3	17	411	72	2
4	17	423	60	2
5	20	432	48	2
6	15	450	35	2
7	19	452	29	2
8	22	455	23	2
9	17	459	24	2
10	18	475	7	2
11	22	466	12	2
12	17	469	14	2
13	16	471	13	2
14	19	470	11	2
15	24	468	8	2
16	20	470	10	2
17	19	469	12	2
18	22	471	7	2
19	23	470	7	2
20	19	474	7	2
21	23	471	6	2
22	23	470	7	2
23	15	476	9	2
24	17	477	6	2
25	20	475	5	2
26	20	474	6	2
27	21	473	6	2
28	26	467	7	2
29	23	469	8	2
30	16	479	5	2
31	20	474	6	2
32	25	470	5	2
33	18	473	9	2
34	13	478	9	2
35	19	476	5	2
36	18	474	8	2
37	19	477	4	2
38	18	473	9	2
39	14	479	7	2
40	21	471	8	2
41	20	475	5	2
42	16	476	8	2
43	18	478	4	2
44	23	470	7	2
45	20	475	5	2
46	24	470	6	2
47	21	471	8	2
48	24	471	5	2
49	20	474	6	2
50	19	475	6	2
51	22	474	4	2
52	19	474	7	2
53	18	477	5	2
54	25	470	5	2
55	19	473	8	2
56	26	468	6	2
57	21	476	3	2
58	19	472	9	2
59	22	472	6	2
60	22	478	0	2
61	24	473	3	2
62	25	470	5	2
63	20	472	8	2
64	14	477	9	2
65	15	478	7	2
66	22	470	8	2
67	19	473	8	2
68	22	472	6	2
69	17	475	8	2
70	23	471	6	2
71	20	474	6	2
72	20	475	5	2
73	15	478	7	2
74	21	474	5	2
75	23	471	6	2
76	21	474	5	2
77	23	471	6	2
78	21	472	7	2
79	21	472	7	2
80	20	473	7	2
81	15	478	7	2
82	19	476	5	2
83	24	470	6	2
84	23	472	5	2
85	17	477	6	2
86	19	475	6	2
87	24	471	5	2
88	23	472	5	2
89	20	473	7	2
90	18	476	6	2
91	23	474	3	2
92	18	477	5	2
93	14	481	5	2
94	24	469	7	2
95	22	473	5	2
96	17	476	7	2
97	18	477	5	2
98	24	472	4	2
99	20	477	3	2
100	22	472	6	2
