Round	Out	Left	Right	Game Type
1	97	403	0	9
2	89	411	0	9
3	92	408	0	9
4	91	409	0	9
5	103	397	0	9
6	109	391	0	9
7	78	422	0	9
8	83	417	0	9
9	104	396	0	9
10	106	394	0	9
11	90	410	0	9
12	85	415	0	9
13	87	413	0	9
14	90	410	0	9
15	103	397	0	9
16	102	398	0	9
17	86	414	0	9
18	94	406	0	9
19	98	402	0	9
20	106	394	0	9
21	86	414	0	9
22	96	404	0	9
23	88	412	0	9
24	96	404	0	9
25	79	421	0	9
26	102	398	0	9
27	93	407	0	9
28	113	387	0	9
29	95	405	0	9
30	94	406	0	9
31	87	413	0	9
32	93	407	0	9
33	88	412	0	9
34	104	396	0	9
35	87	413	0	9
36	109	391	0	9
37	92	408	0	9
38	93	407	0	9
39	98	402	0	9
40	96	404	0	9
41	91	409	0	9
42	94	406	0	9
43	101	399	0	9
44	96	404	0	9
45	96	404	0	9
46	100	400	0	9
47	100	400	0	9
48	102	398	0	9
49	93	407	0	9
50	110	390	0	9
51	95	405	0	9
52	95	405	0	9
53	108	392	0	9
54	94	406	0	9
55	97	403	0	9
56	88	412	0	9
57	95	405	0	9
58	87	413	0	9
59	93	407	0	9
60	95	405	0	9
61	91	409	0	9
62	99	401	0	9
63	95	405	0	9
64	94	406	0	9
65	88	412	0	9
66	90	410	0	9
67	94	406	0	9
68	87	413	0	9
69	93	407	0	9
70	105	395	0	9
71	104	396	0	9
72	80	420	0	9
73	102	398	0	9
74	95	405	0	9
75	95	405	0	9
76	89	411	0	9
77	84	416	0	9
78	80	420	0	9
79	96	404	0	9
80	104	396	0	9
81	88	412	0	9
82	95	405	0	9
83	90	410	0	9
84	98	402	0	9
85	104	396	0	9
86	101	399	0	9
87	107	393	0	9
88	94	406	0	9
89	87	413	0	9
90	103	397	0	9
91	94	406	0	9
92	89	411	0	9
93	98	402	0	9
94	104	396	0	9
95	105	395	0	9
96	108	392	0	9
97	98	402	0	9
98	98	402	0	9
99	91	409	0	9
100	101	399	0	9
