Round	Out	Left	Right	Game Type
1	435	56	9	12
2	432	61	7	12
3	434	58	8	12
4	427	64	9	12
5	425	63	12	12
6	435	53	12	12
7	431	58	11	12
8	433	58	9	12
9	434	53	13	12
10	428	60	12	12
11	427	67	6	12
12	431	62	7	12
13	432	56	12	12
14	435	56	9	12
15	430	65	5	12
16	424	67	9	12
17	438	56	6	12
18	439	54	7	12
19	438	52	10	12
20	433	61	6	12
21	437	55	8	12
22	428	59	13	12
23	437	53	10	12
24	432	60	8	12
25	434	56	10	12
26	428	65	7	12
27	436	58	6	12
28	433	59	8	12
29	433	55	12	12
30	429	66	5	12
31	431	62	7	12
32	436	55	9	12
33	434	59	7	12
34	432	59	9	12
35	439	54	7	12
36	437	54	9	12
37	435	54	11	12
38	437	53	10	12
39	433	61	6	12
40	433	61	6	12
41	440	52	8	12
42	428	63	9	12
43	429	60	11	12
44	427	67	6	12
45	429	59	12	12
46	429	65	6	12
47	433	60	7	12
48	429	62	9	12
49	440	53	7	12
50	423	67	10	12
51	441	52	7	12
52	428	62	10	12
53	423	71	6	12
54	425	63	12	12
55	446	48	6	12
56	434	55	11	12
57	432	59	9	12
58	435	56	9	12
59	436	52	12	12
60	438	52	10	12
61	415	77	8	12
62	443	51	6	12
63	436	54	10	12
64	450	37	13	12
65	435	53	12	12
66	431	59	10	12
67	430	63	7	12
68	435	57	8	12
69	437	52	11	12
70	428	65	7	12
71	428	66	6	12
72	431	65	4	12
73	430	63	7	12
74	441	49	10	12
75	429	61	10	12
76	438	53	9	12
77	430	63	7	12
78	435	55	10	12
79	436	52	12	12
80	443	49	8	12
81	433	60	7	12
82	422	70	8	12
83	427	63	10	12
84	440	56	4	12
85	439	49	12	12
86	431	62	7	12
87	434	60	6	12
88	424	70	6	12
89	431	57	12	12
90	435	59	6	12
91	438	56	6	12
92	434	54	12	12
93	435	60	5	12
94	440	49	11	12
95	431	59	10	12
96	424	66	10	12
97	430	60	10	12
98	432	57	11	12
99	435	58	7	12
100	430	63	7	12
