Round	Out	Left	Right	Game Type
1	36	406	58	13
2	39	424	37	13
3	37	427	36	13
4	34	440	26	13
5	35	447	18	13
6	35	452	13	13
7	47	444	9	13
8	39	456	5	13
9	42	449	9	13
10	36	459	5	13
11	44	448	8	13
12	39	454	7	13
13	32	459	9	13
14	36	457	7	13
15	35	461	4	13
16	35	459	6	13
17	37	459	4	13
18	33	464	3	13
19	32	464	4	13
20	43	455	2	13
21	39	456	5	13
22	45	452	3	13
23	34	463	3	13
24	38	460	2	13
25	37	459	4	13
26	31	467	2	13
27	44	453	3	13
28	39	459	2	13
29	41	456	3	13
30	34	462	4	13
31	43	453	4	13
32	43	455	2	13
33	34	462	4	13
34	36	461	3	13
35	33	465	2	13
36	40	460	0	13
37	41	457	2	13
38	42	457	1	13
39	38	461	1	13
40	37	461	2	13
41	40	458	2	13
42	37	463	0	13
43	38	460	2	13
44	43	455	2	13
45	35	462	3	13
46	41	457	2	13
47	40	456	4	13
48	36	460	4	13
49	35	463	2	13
50	35	463	2	13
51	36	462	2	13
52	37	462	1	13
53	27	472	1	13
54	38	462	0	13
55	41	458	1	13
56	38	460	2	13
57	41	459	0	13
58	43	457	0	13
59	28	470	2	13
60	36	464	0	13
61	33	465	2	13
62	35	463	2	13
63	44	455	1	13
64	39	461	0	13
65	42	458	0	13
66	37	462	1	13
67	46	453	1	13
68	37	462	1	13
69	34	465	1	13
70	43	457	0	13
71	44	456	0	13
72	39	460	1	13
73	35	464	1	13
74	41	458	1	13
75	37	462	1	13
76	51	448	1	13
77	33	467	0	13
78	44	456	0	13
79	39	460	1	13
80	42	457	1	13
81	32	467	1	13
82	32	467	1	13
83	36	464	0	13
84	37	463	0	13
85	46	454	0	13
86	35	464	1	13
87	33	466	1	13
88	43	457	0	13
89	40	459	1	13
90	35	465	0	13
91	38	461	1	13
92	31	469	0	13
93	40	460	0	13
94	42	458	0	13
95	35	465	0	13
96	45	455	0	13
97	39	461	0	13
98	40	459	1	13
99	44	456	0	13
100	38	461	1	13
101	43	457	0	13
102	37	462	1	13
103	35	464	1	13
104	38	461	1	13
105	34	465	1	13
106	29	470	1	13
107	33	466	1	13
108	35	465	0	13
109	36	464	0	13
110	43	456	1	13
111	38	461	1	13
112	39	460	1	13
113	42	457	1	13
114	40	460	0	13
115	38	462	0	13
116	32	467	1	13
117	36	463	1	13
118	35	464	1	13
119	33	466	1	13
120	39	461	0	13
121	42	457	1	13
122	35	465	0	13
123	43	456	1	13
124	43	456	1	13
125	37	463	0	13
126	36	463	1	13
127	38	461	1	13
128	41	458	1	13
129	34	466	0	13
130	35	464	1	13
131	37	463	0	13
132	38	462	0	13
133	41	458	1	13
134	42	457	1	13
135	41	459	0	13
136	35	465	0	13
137	37	462	1	13
138	38	461	1	13
139	33	467	0	13
140	39	461	0	13
141	40	460	0	13
142	38	461	1	13
143	34	465	1	13
144	35	465	0	13
145	43	457	0	13
146	41	459	0	13
147	36	464	0	13
148	39	461	0	13
149	29	470	1	13
150	34	466	0	13
151	41	458	1	13
152	39	460	1	13
153	36	463	1	13
154	28	472	0	13
155	42	457	1	13
156	37	463	0	13
157	32	468	0	13
