Round	Out	Left	Right	Game Type
1	195	193	112	6
2	182	206	112	6
3	199	199	102	6
4	187	202	111	6
5	196	196	108	6
6	189	206	105	6
7	196	188	116	6
8	184	204	112	6
9	195	204	101	6
10	201	199	100	6
11	203	193	104	6
12	200	196	104	6
13	191	204	105	6
14	199	180	121	6
15	182	203	115	6
16	194	186	120	6
17	190	197	113	6
18	204	191	105	6
19	177	217	106	6
20	192	197	111	6
21	191	200	109	6
22	200	198	102	6
23	189	214	97	6
24	198	181	121	6
25	202	188	110	6
26	193	202	105	6
27	190	207	103	6
28	195	193	112	6
29	204	179	117	6
30	205	186	109	6
31	191	196	113	6
32	186	207	107	6
33	190	203	107	6
34	213	177	110	6
35	210	181	109	6
36	198	189	113	6
37	207	171	122	6
38	207	193	100	6
39	207	183	110	6
40	190	208	102	6
41	196	196	108	6
42	188	205	107	6
43	188	213	99	6
44	189	204	107	6
45	191	201	108	6
46	200	191	109	6
47	198	195	107	6
48	184	200	116	6
49	188	212	100	6
50	196	201	103	6
51	189	195	116	6
52	199	180	121	6
53	189	195	116	6
54	206	191	103	6
55	187	212	101	6
56	193	206	101	6
57	185	207	108	6
58	194	208	98	6
59	198	202	100	6
60	205	188	107	6
61	184	197	119	6
62	197	180	123	6
63	188	195	117	6
64	196	195	109	6
65	183	207	110	6
66	199	203	98	6
67	196	197	107	6
68	196	194	110	6
69	186	201	113	6
70	179	211	110	6
71	188	209	103	6
72	192	198	110	6
73	198	188	114	6
74	181	211	108	6
75	178	219	103	6
76	183	207	110	6
77	196	193	111	6
78	200	192	108	6
79	204	182	114	6
80	193	191	116	6
81	191	189	120	6
82	205	184	111	6
83	198	207	95	6
84	203	187	110	6
85	210	186	104	6
86	203	179	118	6
87	204	183	113	6
88	183	203	114	6
89	193	188	119	6
90	186	198	116	6
91	197	191	112	6
92	180	218	102	6
93	189	193	118	6
94	195	203	102	6
95	187	199	114	6
96	177	211	112	6
97	190	198	112	6
98	194	191	115	6
99	179	205	116	6
100	198	192	110	6
101	206	185	109	6
102	198	191	111	6
103	192	213	95	6
104	207	175	118	6
105	203	185	112	6
106	196	199	105	6
107	205	190	105	6
108	179	213	108	6
109	194	202	104	6
110	202	177	121	6
111	186	216	98	6
112	180	201	119	6
113	201	197	102	6
114	200	197	103	6
115	190	205	105	6
116	207	192	101	6
117	198	189	113	6
118	201	187	112	6
119	196	192	112	6
120	209	187	104	6
121	191	201	108	6
122	205	185	110	6
123	199	192	109	6
124	197	203	100	6
125	187	218	95	6
126	194	208	98	6
127	184	216	100	6
128	182	202	116	6
129	193	197	110	6
130	202	186	112	6
131	186	211	103	6
132	179	221	100	6
133	196	196	108	6
134	206	189	105	6
135	206	187	107	6
136	181	222	97	6
137	199	193	108	6
138	193	193	114	6
139	196	209	95	6
140	191	210	99	6
141	193	202	105	6
142	194	200	106	6
143	172	207	121	6
144	192	200	108	6
145	196	194	110	6
146	187	204	109	6
147	206	185	109	6
148	189	203	108	6
149	196	204	100	6
150	211	177	112	6
151	197	203	100	6
152	185	210	105	6
153	192	200	108	6
154	211	185	104	6
155	200	192	108	6
156	191	193	116	6
157	183	206	111	6
158	205	180	115	6
159	195	192	113	6
160	195	198	107	6
161	186	209	105	6
162	199	192	109	6
163	192	203	105	6
164	190	209	101	6
165	202	180	118	6
166	187	196	117	6
167	181	206	113	6
168	204	183	113	6
169	204	182	114	6
170	199	195	106	6
171	199	186	115	6
172	192	200	108	6
173	193	204	103	6
174	198	209	93	6
175	190	202	108	6
176	201	204	95	6
177	190	202	108	6
178	184	223	93	6
179	200	195	105	6
180	197	189	114	6
181	197	201	102	6
182	196	203	101	6
183	194	198	108	6
