Round	Out	Left	Right	Game Type
1	106	255	139	7
2	112	250	138	7
3	92	266	142	7
4	93	266	141	7
5	86	265	149	7
6	100	255	145	7
7	103	255	142	7
8	120	239	141	7
9	99	264	137	7
10	105	253	142	7
11	108	242	150	7
12	108	255	137	7
13	106	258	136	7
14	118	239	143	7
15	104	253	143	7
16	111	250	139	7
17	96	269	135	7
18	105	249	146	7
19	106	266	128	7
20	101	252	147	7
21	107	257	136	7
22	112	248	140	7
23	119	240	141	7
24	98	249	153	7
25	96	266	138	7
26	112	252	136	7
27	95	267	138	7
28	96	267	137	7
29	108	254	138	7
30	101	254	145	7
31	102	262	136	7
32	103	271	126	7
33	99	256	145	7
34	92	274	134	7
35	101	260	139	7
36	97	265	138	7
37	117	236	147	7
38	108	245	147	7
39	102	267	131	7
40	102	258	140	7
41	93	259	148	7
42	110	250	140	7
43	110	249	141	7
44	100	251	149	7
45	113	237	150	7
46	93	274	133	7
47	109	264	127	7
48	119	246	135	7
49	91	267	142	7
50	108	254	138	7
51	91	262	147	7
52	106	264	130	7
53	102	258	140	7
54	96	270	134	7
55	104	263	133	7
56	86	275	139	7
57	105	240	155	7
58	109	232	159	7
59	110	255	135	7
60	98	254	148	7
61	107	243	150	7
62	84	277	139	7
63	96	271	133	7
64	100	250	150	7
65	107	258	135	7
66	106	251	143	7
67	96	253	151	7
68	98	258	144	7
69	97	257	146	7
70	96	270	134	7
71	121	238	141	7
72	107	254	139	7
73	94	250	156	7
74	107	262	131	7
75	103	252	145	7
76	92	271	137	7
77	105	255	140	7
78	95	270	135	7
79	87	265	148	7
80	106	252	142	7
81	94	263	143	7
82	102	267	131	7
83	94	261	145	7
84	119	241	140	7
85	100	251	149	7
86	102	268	130	7
87	90	275	135	7
88	98	277	125	7
89	105	247	148	7
90	99	251	150	7
91	104	242	154	7
92	97	271	132	7
93	84	286	130	7
94	119	256	125	7
95	104	251	145	7
96	92	271	137	7
97	107	257	136	7
98	110	255	135	7
99	94	272	134	7
100	98	261	141	7
101	96	261	143	7
102	94	255	151	7
103	99	258	143	7
104	97	258	145	7
105	105	252	143	7
106	107	238	155	7
107	89	262	149	7
108	97	266	137	7
109	92	266	142	7
110	101	259	140	7
111	102	265	133	7
112	110	254	136	7
113	99	237	164	7
114	102	256	142	7
115	105	259	136	7
116	109	245	146	7
117	123	239	138	7
118	111	233	156	7
119	104	238	158	7
120	108	245	147	7
