Round	Out	Left	Right	Game Type
1	212	288	0	17
2	196	304	0	17
3	201	299	0	17
4	198	302	0	17
5	209	291	0	17
6	202	298	0	17
7	189	311	0	17
8	215	285	0	17
9	216	284	0	17
10	227	273	0	17
11	194	306	0	17
12	214	286	0	17
13	211	289	0	17
14	211	289	0	17
15	204	296	0	17
16	208	290	2	17
17	213	286	1	17
18	204	296	0	17
19	205	294	1	17
20	215	284	1	17
21	211	289	0	17
22	213	287	0	17
23	212	287	1	17
24	197	303	0	17
25	211	289	0	17
26	207	292	1	17
27	196	303	1	17
28	202	297	1	17
29	201	299	0	17
30	208	291	1	17
31	211	288	1	17
32	203	295	2	17
33	192	304	4	17
34	213	284	3	17
35	197	301	2	17
36	212	284	4	17
37	206	292	2	17
38	203	292	5	17
39	207	292	1	17
40	208	289	3	17
41	200	293	7	17
42	209	285	6	17
43	206	287	7	17
44	206	289	5	17
45	207	287	6	17
46	203	288	9	17
47	211	280	9	17
48	212	278	10	17
49	198	291	11	17
50	202	290	8	17
51	208	281	11	17
52	222	267	11	17
53	212	273	15	17
54	223	268	9	17
55	216	269	15	17
56	215	271	14	17
57	201	284	15	17
58	200	273	27	17
59	198	272	30	17
60	192	285	23	17
61	202	276	22	17
62	203	270	27	17
63	207	261	32	17
64	214	259	27	17
65	205	272	23	17
66	197	264	39	17
67	211	253	36	17
68	210	263	27	17
69	196	256	48	17
70	193	266	41	17
71	203	257	40	17
72	209	249	42	17
73	212	249	39	17
74	203	244	53	17
75	220	241	39	17
76	221	234	45	17
77	203	239	58	17
78	204	246	50	17
79	200	232	68	17
80	210	234	56	17
81	213	226	61	17
82	203	239	58	17
83	211	232	57	17
84	205	232	63	17
85	208	233	59	17
86	212	219	69	17
87	194	244	62	17
88	215	228	57	17
89	214	222	64	17
90	216	230	54	17
91	208	222	70	17
92	205	215	80	17
93	212	217	71	17
94	216	213	71	17
95	214	218	68	17
96	205	221	74	17
97	195	213	92	17
98	195	216	89	17
99	208	208	84	17
100	200	216	84	17
101	214	220	66	17
102	214	215	71	17
103	220	203	77	17
104	214	212	74	17
105	210	204	86	17
106	213	205	82	17
107	190	215	95	17
108	196	204	100	17
109	219	210	71	17
110	206	201	93	17
111	200	204	96	17
112	197	216	87	17
113	212	205	83	17
114	214	209	77	17
115	195	203	102	17
116	193	210	97	17
117	200	202	98	17
118	203	192	105	17
119	207	204	89	17
120	213	205	82	17
121	212	200	88	17
122	209	195	96	17
123	215	194	91	17
124	200	210	90	17
125	202	195	103	17
126	211	198	91	17
127	198	206	96	17
128	190	191	119	17
129	197	197	106	17
130	202	206	92	17
131	188	208	104	17
132	217	207	76	17
133	200	207	93	17
134	202	197	101	17
135	202	191	107	17
136	201	200	99	17
137	203	202	95	17
138	198	202	100	17
139	202	191	107	17
140	207	207	86	17
141	202	205	93	17
142	210	200	90	17
143	204	200	96	17
144	204	196	100	17
145	206	202	92	17
146	206	186	108	17
147	214	198	88	17
148	208	203	89	17
149	203	196	101	17
150	216	188	96	17
151	208	205	87	17
152	220	193	87	17
153	215	196	89	17
154	209	198	93	17
