Round	Out	Left	Right	Game Type
1	233	118	149	11
2	229	131	140	11
3	240	125	135	11
4	238	121	141	11
5	236	118	146	11
6	240	123	137	11
7	223	136	141	11
8	221	135	144	11
9	233	116	151	11
10	224	130	146	11
11	232	121	147	11
12	238	124	138	11
13	234	132	134	11
14	223	140	137	11
15	231	132	137	11
16	234	123	143	11
17	221	141	138	11
18	240	111	149	11
19	242	116	142	11
20	231	125	144	11
21	235	121	144	11
22	242	111	147	11
23	224	131	145	11
24	241	120	139	11
25	214	149	137	11
26	229	132	139	11
27	229	123	148	11
28	237	119	144	11
29	230	122	148	11
30	233	116	151	11
31	235	115	150	11
32	237	118	145	11
33	230	131	139	11
34	245	109	146	11
35	239	132	129	11
36	250	109	141	11
37	231	135	134	11
38	242	115	143	11
39	235	123	142	11
40	234	125	141	11
41	226	140	134	11
42	234	124	142	11
43	225	142	133	11
44	249	112	139	11
45	223	139	138	11
46	228	127	145	11
47	238	112	150	11
48	242	107	151	11
49	219	140	141	11
50	224	137	139	11
51	232	124	144	11
52	248	107	145	11
53	229	138	133	11
54	226	143	131	11
55	235	133	132	11
56	248	114	138	11
57	250	105	145	11
58	231	130	139	11
59	243	103	154	11
60	238	125	137	11
61	230	138	132	11
62	229	120	151	11
63	233	124	143	11
64	232	123	145	11
65	219	145	136	11
66	237	124	139	11
67	223	130	147	11
68	244	120	136	11
69	243	124	133	11
70	225	128	147	11
71	222	137	141	11
72	253	103	144	11
73	233	127	140	11
74	217	150	133	11
75	235	119	146	11
76	224	137	139	11
77	233	139	128	11
78	229	124	147	11
79	232	121	147	11
80	227	131	142	11
81	230	134	136	11
82	245	101	154	11
83	230	129	141	11
84	239	126	135	11
85	230	134	136	11
86	232	123	145	11
87	225	128	147	11
88	242	128	130	11
89	232	123	145	11
90	222	134	144	11
91	229	127	144	11
92	217	153	130	11
93	234	134	132	11
94	224	128	148	11
95	232	127	141	11
96	236	124	140	11
97	215	145	140	11
98	226	125	149	11
99	235	123	142	11
100	228	121	151	11
101	236	125	139	11
102	226	127	147	11
103	231	126	143	11
104	231	140	129	11
105	239	108	153	11
106	236	116	148	11
107	248	119	133	11
108	234	133	133	11
109	225	137	138	11
110	231	131	138	11
111	229	127	144	11
112	245	119	136	11
113	231	129	140	11
114	245	116	139	11
115	222	137	141	11
116	233	132	135	11
117	240	124	136	11
118	237	111	152	11
119	240	122	138	11
120	236	122	142	11
121	221	134	145	11
122	239	121	140	11
123	230	131	139	11
124	234	112	154	11
125	238	117	145	11
126	227	132	141	11
127	234	127	139	11
128	212	156	132	11
129	235	120	145	11
130	218	139	143	11
131	232	127	141	11
132	237	124	139	11
133	229	126	145	11
134	233	128	139	11
135	242	109	149	11
136	245	110	145	11
137	238	118	144	11
138	251	114	135	11
139	233	122	145	11
140	240	118	142	11
141	231	130	139	11
142	227	133	140	11
143	225	138	137	11
144	242	118	140	11
145	232	124	144	11
146	218	150	132	11
147	241	122	137	11
148	222	133	145	11
149	240	119	141	11
150	242	109	149	11
151	227	130	143	11
152	241	114	145	11
153	245	118	137	11
154	233	134	133	11
155	242	113	145	11
156	231	116	153	11
157	242	112	146	11
158	225	128	147	11
159	220	151	129	11
160	229	120	151	11
161	233	131	136	11
162	218	139	143	11
163	248	109	143	11
164	233	134	133	11
165	245	108	147	11
166	230	127	143	11
167	246	117	137	11
168	232	118	150	11
169	230	126	144	11
170	221	140	139	11
171	242	115	143	11
172	222	142	136	11
173	226	116	158	11
174	233	119	148	11
175	238	125	137	11
176	244	114	142	11
177	233	117	150	11
178	236	130	134	11
179	238	126	136	11
180	239	111	150	11
181	225	133	142	11
182	240	123	137	11
183	226	137	137	11
184	240	120	140	11
185	231	130	139	11
186	244	121	135	11
187	226	139	135	11
188	227	123	150	11
189	238	124	138	11
190	235	131	134	11
191	234	119	147	11
192	221	142	137	11
193	235	137	128	11
194	231	127	142	11
195	232	119	149	11
196	235	120	145	11
197	231	130	139	11
198	245	124	131	11
199	238	124	138	11
200	225	142	133	11
201	235	125	140	11
202	224	140	136	11
203	225	123	152	11
204	230	119	151	11
205	222	130	148	11
206	234	120	146	11
207	230	133	137	11
208	237	123	140	11
209	225	139	136	11
210	217	147	136	11
211	221	134	145	11
212	231	126	143	11
213	231	130	139	11
214	252	95	153	11
215	225	131	144	11
216	225	135	140	11
217	224	130	146	11
218	234	129	137	11
219	233	127	140	11
220	232	125	143	11
221	242	123	135	11
222	235	118	147	11
223	242	118	140	11
224	231	126	143	11
225	231	128	141	11
226	234	127	139	11
227	223	135	142	11
228	242	123	135	11
229	241	113	146	11
230	229	135	136	11
231	239	119	142	11
232	229	124	147	11
233	246	109	145	11
234	246	121	133	11
235	237	118	145	11
236	235	123	142	11
237	250	116	134	11
238	231	133	136	11
239	233	129	138	11
240	228	140	132	11
241	220	135	145	11
242	236	123	141	11
243	246	122	132	11
244	233	121	146	11
245	221	141	138	11
246	246	114	140	11
247	227	128	145	11
248	234	132	134	11
249	232	130	138	11
250	241	110	149	11
251	241	118	141	11
252	238	107	155	11
253	226	138	136	11
254	227	130	143	11
255	244	108	148	11
256	235	127	138	11
257	223	132	145	11
258	226	133	141	11
259	227	124	149	11
260	227	127	146	11
261	253	101	146	11
262	227	126	147	11
263	243	115	142	11
264	230	131	139	11
265	229	134	137	11
266	236	114	150	11
267	228	127	145	11
268	232	120	148	11
269	220	145	135	11
270	217	140	143	11
271	225	126	149	11
272	233	123	144	11
273	217	148	135	11
274	233	129	138	11
275	230	127	143	11
276	220	143	137	11
277	243	118	139	11
278	222	139	139	11
279	236	128	136	11
280	235	113	152	11
281	241	115	144	11
282	220	134	146	11
283	239	114	147	11
284	243	109	148	11
285	238	126	136	11
286	238	122	140	11
287	235	124	141	11
288	228	134	138	11
289	231	130	139	11
290	242	119	139	11
291	218	145	137	11
292	233	118	149	11
293	246	113	141	11
294	238	118	144	11
295	235	126	139	11
296	224	143	133	11
297	242	113	145	11
298	225	133	142	11
299	226	139	135	11
300	233	125	142	11
301	229	126	145	11
302	233	117	150	11
303	239	114	147	11
304	237	122	141	11
305	231	117	152	11
