Round	Out	Left	Right	Game Type
1	99	158	243	1
2	108	167	225	1
3	114	153	233	1
4	108	166	226	1
5	100	170	230	1
6	104	171	225	1
7	100	161	239	1
8	116	155	229	1
9	117	157	226	1
10	90	179	231	1
11	103	177	220	1
12	99	177	224	1
13	107	177	216	1
14	119	158	223	1
15	106	160	234	1
16	102	167	231	1
17	105	164	231	1
18	106	155	239	1
19	106	161	233	1
20	104	162	234	1
21	88	182	230	1
22	110	164	226	1
23	123	145	232	1
24	94	169	237	1
25	104	165	231	1
26	90	190	220	1
27	112	160	228	1
28	119	158	223	1
29	102	162	236	1
30	104	165	231	1
31	106	171	223	1
32	111	151	238	1
33	95	173	232	1
34	108	176	216	1
35	99	168	233	1
36	106	164	230	1
37	112	159	229	1
38	104	171	225	1
39	100	175	225	1
40	102	165	233	1
41	115	154	231	1
42	95	156	249	1
43	109	167	224	1
44	110	174	216	1
45	102	176	222	1
46	100	171	229	1
47	125	153	222	1
48	112	147	241	1
49	108	167	225	1
50	106	167	227	1
51	114	159	227	1
52	106	161	233	1
53	106	157	237	1
54	111	161	228	1
55	120	148	232	1
56	103	178	219	1
57	95	166	239	1
58	101	173	226	1
59	106	166	228	1
60	106	168	226	1
61	96	165	239	1
62	109	161	230	1
63	96	160	244	1
64	109	164	227	1
65	98	175	227	1
66	102	181	217	1
67	112	158	230	1
68	99	158	243	1
69	110	147	243	1
70	106	160	234	1
71	114	157	229	1
72	111	164	225	1
73	98	163	239	1
74	96	171	233	1
75	97	172	231	1
76	118	143	239	1
77	102	175	223	1
78	109	165	226	1
79	113	147	240	1
80	99	164	237	1
81	94	177	229	1
82	87	183	230	1
83	105	165	230	1
84	115	149	236	1
85	102	174	224	1
86	83	171	246	1
87	115	160	225	1
88	98	170	232	1
89	106	169	225	1
90	98	172	230	1
91	102	182	216	1
92	104	157	239	1
93	103	169	228	1
94	116	158	226	1
95	103	165	232	1
96	96	175	229	1
97	96	173	231	1
98	120	157	223	1
99	92	187	221	1
100	105	168	227	1
101	106	167	227	1
102	110	154	236	1
103	99	174	227	1
104	114	167	219	1
105	96	169	235	1
106	100	169	231	1
107	99	180	221	1
108	95	163	242	1
109	116	160	224	1
110	103	182	215	1
111	107	175	218	1
112	111	168	221	1
113	123	156	221	1
114	101	175	224	1
115	95	177	228	1
116	114	155	231	1
117	111	147	242	1
118	90	176	234	1
119	108	161	231	1
120	117	144	239	1
121	103	169	228	1
122	111	163	226	1
123	99	178	223	1
124	97	176	227	1
125	97	184	219	1
126	98	160	242	1
127	110	150	240	1
128	108	157	235	1
129	115	159	226	1
130	111	166	223	1
131	121	166	213	1
