Round	Out	Left	Right	Game Type
1	292	208	0	20
2	301	199	0	20
3	300	200	0	20
4	277	223	0	20
5	295	205	0	20
6	286	214	0	20
7	285	215	0	20
8	282	218	0	20
9	282	218	0	20
10	286	214	0	20
11	288	212	0	20
12	275	225	0	20
13	297	203	0	20
14	285	215	0	20
15	280	220	0	20
16	283	217	0	20
17	270	230	0	20
18	285	215	0	20
19	303	197	0	20
20	294	206	0	20
21	286	214	0	20
22	278	222	0	20
23	287	213	0	20
24	286	214	0	20
25	278	222	0	20
26	293	207	0	20
27	285	215	0	20
28	281	219	0	20
29	278	222	0	20
30	292	208	0	20
31	290	210	0	20
32	293	207	0	20
33	287	213	0	20
34	288	212	0	20
35	285	215	0	20
36	274	226	0	20
37	284	216	0	20
38	270	230	0	20
39	285	215	0	20
40	281	219	0	20
41	292	208	0	20
42	298	202	0	20
43	299	201	0	20
44	275	225	0	20
45	270	230	0	20
46	290	210	0	20
47	293	207	0	20
48	296	204	0	20
49	281	219	0	20
50	290	210	0	20
51	292	208	0	20
52	275	225	0	20
53	298	202	0	20
54	291	209	0	20
55	284	216	0	20
56	306	194	0	20
57	283	217	0	20
58	282	218	0	20
59	298	202	0	20
60	286	214	0	20
61	290	210	0	20
62	286	214	0	20
63	290	210	0	20
64	292	208	0	20
65	290	210	0	20
66	298	202	0	20
67	271	229	0	20
68	290	210	0	20
69	287	213	0	20
70	290	210	0	20
71	290	210	0	20
72	272	228	0	20
73	289	211	0	20
74	284	216	0	20
75	301	199	0	20
76	282	218	0	20
77	292	208	0	20
78	299	201	0	20
79	300	200	0	20
80	290	210	0	20
81	297	203	0	20
82	291	209	0	20
83	288	212	0	20
84	291	209	0	20
85	287	213	0	20
86	299	201	0	20
87	291	209	0	20
88	280	219	1	20
89	288	212	0	20
90	276	224	0	20
91	297	203	0	20
92	291	209	0	20
93	282	218	0	20
94	282	218	0	20
95	284	216	0	20
96	303	197	0	20
97	291	209	0	20
98	293	207	0	20
99	289	211	0	20
100	267	233	0	20
101	288	212	0	20
102	285	215	0	20
103	290	210	0	20
104	289	211	0	20
105	293	207	0	20
106	294	206	0	20
107	278	222	0	20
108	296	204	0	20
109	293	207	0	20
110	283	217	0	20
111	297	203	0	20
112	284	216	0	20
113	282	218	0	20
114	290	210	0	20
115	283	217	0	20
116	284	216	0	20
117	284	216	0	20
118	292	208	0	20
119	281	219	0	20
120	280	220	0	20
121	291	209	0	20
122	288	212	0	20
123	284	216	0	20
124	290	210	0	20
125	279	221	0	20
126	286	214	0	20
127	283	217	0	20
128	279	221	0	20
129	271	229	0	20
130	286	214	0	20
131	286	214	0	20
132	283	217	0	20
133	279	221	0	20
134	288	212	0	20
135	285	215	0	20
136	290	210	0	20
137	280	220	0	20
138	290	210	0	20
139	281	219	0	20
140	285	215	0	20
141	293	207	0	20
142	292	208	0	20
143	281	219	0	20
144	292	208	0	20
145	288	212	0	20
146	280	220	0	20
147	287	213	0	20
148	290	210	0	20
149	288	212	0	20
150	308	192	0	20
151	284	216	0	20
152	288	212	0	20
153	302	198	0	20
154	293	207	0	20
155	286	214	0	20
156	287	213	0	20
157	285	215	0	20
158	277	223	0	20
159	283	217	0	20
160	285	215	0	20
161	285	215	0	20
162	288	212	0	20
163	289	211	0	20
164	292	208	0	20
165	301	199	0	20
166	297	203	0	20
167	285	215	0	20
168	297	203	0	20
169	297	203	0	20
170	285	215	0	20
171	281	219	0	20
172	291	209	0	20
173	305	195	0	20
174	287	213	0	20
175	296	204	0	20
176	287	213	0	20
177	302	198	0	20
178	290	210	0	20
179	271	229	0	20
180	281	219	0	20
181	295	205	0	20
182	283	217	0	20
183	293	207	0	20
184	292	208	0	20
185	277	223	0	20
186	295	205	0	20
187	294	206	0	20
188	293	207	0	20
189	286	214	0	20
190	287	213	0	20
191	279	221	0	20
192	294	206	0	20
193	296	204	0	20
194	295	205	0	20
195	285	215	0	20
196	282	218	0	20
197	286	214	0	20
198	285	215	0	20
199	277	223	0	20
200	297	203	0	20
201	289	211	0	20
202	282	218	0	20
203	296	204	0	20
204	275	225	0	20
205	286	214	0	20
206	291	209	0	20
207	285	215	0	20
208	293	207	0	20
209	279	221	0	20
210	289	211	0	20
211	283	217	0	20
212	295	205	0	20
213	298	202	0	20
214	289	211	0	20
215	284	216	0	20
216	275	225	0	20
217	285	215	0	20
