Round	Out	Left	Right	Game Type
1	46	438	16	18
2	62	425	13	18
3	50	434	16	18
4	61	424	15	18
5	56	437	7	18
6	66	428	6	18
7	62	432	6	18
8	64	431	5	18
9	57	438	5	18
10	61	437	2	18
11	53	444	3	18
12	60	436	4	18
13	53	445	2	18
14	62	436	2	18
15	61	437	2	18
16	58	440	2	18
17	63	435	2	18
18	62	435	3	18
19	54	444	2	18
20	53	443	4	18
21	69	429	2	18
22	55	441	4	18
23	58	441	1	18
24	58	440	2	18
25	60	435	5	18
26	67	429	4	18
27	56	441	3	18
28	55	444	1	18
29	58	440	2	18
30	58	438	4	18
31	58	440	2	18
32	51	445	4	18
33	60	440	0	18
34	55	443	2	18
35	65	433	2	18
36	66	430	4	18
37	66	429	5	18
38	61	435	4	18
39	55	442	3	18
40	55	440	5	18
41	51	445	4	18
42	64	436	0	18
43	65	432	3	18
44	58	436	6	18
45	56	442	2	18
46	58	436	6	18
47	60	435	5	18
48	53	440	7	18
49	58	437	5	18
50	52	442	6	18
51	69	426	5	18
52	55	440	5	18
53	58	435	7	18
54	68	427	5	18
55	55	436	9	18
56	59	433	8	18
57	63	428	9	18
58	53	437	10	18
59	61	427	12	18
60	63	429	8	18
61	61	430	9	18
62	59	428	13	18
63	49	439	12	18
64	60	431	9	18
65	52	433	15	18
66	57	431	12	18
67	59	431	10	18
68	53	436	11	18
69	66	426	8	18
70	57	431	12	18
71	64	424	12	18
72	58	428	14	18
73	62	429	9	18
74	61	424	15	18
75	63	426	11	18
76	60	427	13	18
77	54	429	17	18
78	58	428	14	18
79	55	430	15	18
80	52	430	18	18
81	63	421	16	18
82	63	422	15	18
83	58	421	21	18
84	60	422	18	18
85	64	419	17	18
86	62	420	18	18
87	59	421	20	18
88	58	425	17	18
89	56	418	26	18
90	55	423	22	18
91	53	426	21	18
92	55	423	22	18
93	59	420	21	18
94	56	418	26	18
95	69	411	20	18
96	61	418	21	18
97	64	417	19	18
98	52	418	30	18
99	56	416	28	18
100	55	422	23	18
101	56	419	25	18
102	60	411	29	18
103	63	413	24	18
104	47	420	33	18
105	58	421	21	18
106	56	417	27	18
107	52	410	38	18
108	52	413	35	18
109	60	409	31	18
110	59	413	28	18
111	62	406	32	18
112	53	414	33	18
113	60	412	28	18
114	52	412	36	18
115	57	416	27	18
116	59	403	38	18
117	65	405	30	18
118	60	410	30	18
119	65	405	30	18
120	56	406	38	18
121	59	406	35	18
122	53	410	37	18
123	59	408	33	18
124	63	411	26	18
125	57	407	36	18
126	59	414	27	18
127	53	404	43	18
128	55	400	45	18
129	52	414	34	18
130	59	404	37	18
131	56	405	39	18
132	55	412	33	18
133	57	407	36	18
134	58	409	33	18
135	59	402	39	18
136	55	406	39	18
137	61	403	36	18
138	54	401	45	18
139	52	403	45	18
140	58	405	37	18
141	58	407	35	18
142	58	407	35	18
143	64	403	33	18
144	56	404	40	18
145	50	405	45	18
146	56	400	44	18
147	63	394	43	18
148	61	400	39	18
149	52	404	44	18
150	59	399	42	18
151	53	409	38	18
152	57	402	41	18
153	62	402	36	18
154	55	399	46	18
155	57	400	43	18
156	56	397	47	18
157	57	402	41	18
158	55	402	43	18
159	61	398	41	18
160	59	397	44	18
161	61	401	38	18
162	60	401	39	18
163	55	395	50	18
164	60	401	39	18
165	64	397	39	18
166	59	400	41	18
167	55	398	47	18
168	50	398	52	18
169	59	403	38	18
170	60	397	43	18
171	59	399	42	18
172	53	396	51	18
173	61	395	44	18
174	55	394	51	18
175	61	395	44	18
176	49	393	58	18
177	61	398	41	18
178	57	396	47	18
179	56	397	47	18
180	52	398	50	18
181	61	393	46	18
182	61	395	44	18
183	56	394	50	18
184	58	403	39	18
185	63	393	44	18
186	50	392	58	18
187	57	393	50	18
188	60	394	46	18
189	60	396	44	18
190	55	395	50	18
191	47	398	55	18
192	62	396	42	18
193	60	397	43	18
194	63	394	43	18
195	50	399	51	18
196	57	399	44	18
197	59	391	50	18
198	60	396	44	18
199	60	396	44	18
200	64	393	43	18
201	58	390	52	18
202	48	394	58	18
203	50	395	55	18
204	57	399	44	18
205	60	391	49	18
206	58	395	47	18
207	59	396	45	18
208	61	396	43	18
209	68	398	34	18
210	58	393	49	18
211	59	397	44	18
212	51	397	52	18
213	57	395	48	18
214	59	392	49	18
215	54	393	53	18
216	59	393	48	18
217	51	392	57	18
218	59	398	43	18
219	49	395	56	18
220	52	391	57	18
221	56	390	54	18
222	59	396	45	18
223	63	394	43	18
224	64	388	48	18
225	53	389	58	18
226	57	394	49	18
227	52	396	52	18
228	63	397	40	18
229	53	393	54	18
230	52	391	57	18
231	55	395	50	18
232	56	395	49	18
233	66	391	43	18
234	58	395	47	18
235	68	392	40	18
236	52	393	55	18
237	59	392	49	18
238	65	394	41	18
239	56	390	54	18
240	57	392	51	18
241	61	392	47	18
242	59	388	53	18
243	54	391	55	18
244	56	391	53	18
245	61	390	49	18
246	54	392	54	18
247	52	393	55	18
248	58	395	47	18
249	55	391	54	18
250	48	391	61	18
251	62	393	45	18
252	58	390	52	18
253	55	389	56	18
254	58	389	53	18
255	60	393	47	18
256	60	392	48	18
257	48	399	53	18
258	58	392	50	18
259	69	390	41	18
260	55	391	54	18
261	46	390	64	18
262	58	391	51	18
263	53	389	58	18
264	65	387	48	18
265	66	392	42	18
266	56	390	54	18
267	60	396	44	18
268	57	390	53	18
269	63	396	41	18
270	63	393	44	18
271	46	386	68	18
272	54	390	56	18
273	48	392	60	18
274	62	395	43	18
275	53	394	53	18
276	58	388	54	18
277	61	393	46	18
278	50	396	54	18
279	68	396	36	18
280	65	392	43	18
281	63	391	46	18
282	63	389	48	18
283	67	392	41	18
284	62	388	50	18
285	61	390	49	18
286	63	391	46	18
287	56	390	54	18
288	57	392	51	18
289	52	391	57	18
290	68	391	41	18
291	55	391	54	18
292	51	389	60	18
293	61	396	43	18
294	65	391	44	18
295	59	390	51	18
296	58	395	47	18
297	55	393	52	18
298	61	389	50	18
299	63	388	49	18
300	61	387	52	18
301	58	391	51	18
302	62	390	48	18
303	54	391	55	18
304	58	395	47	18
305	55	393	52	18
306	60	393	47	18
307	57	392	51	18
308	68	392	40	18
309	56	389	55	18
310	60	387	53	18
311	62	390	48	18
312	53	392	55	18
313	65	391	44	18
314	58	387	55	18
315	59	392	49	18
316	51	394	55	18
317	58	391	51	18
318	57	393	50	18
319	54	392	54	18
320	60	389	51	18
321	62	389	49	18
322	52	392	56	18
323	51	394	55	18
324	61	389	50	18
325	58	390	52	18
326	55	392	53	18
327	59	395	46	18
328	56	390	54	18
329	63	393	44	18
330	62	396	42	18
331	49	390	61	18
332	58	391	51	18
333	65	392	43	18
334	59	393	48	18
335	66	395	39	18
336	58	390	52	18
337	59	391	50	18
338	63	395	42	18
339	54	390	56	18
340	53	390	57	18
341	56	394	50	18
342	52	393	55	18
343	54	389	57	18
344	54	384	62	18
345	60	388	52	18
346	54	391	55	18
347	63	388	49	18
348	66	385	49	18
349	56	393	51	18
350	57	392	51	18
351	58	388	54	18
352	65	393	42	18
353	64	390	46	18
354	52	393	55	18
355	55	386	59	18
356	63	396	41	18
357	59	394	47	18
358	64	394	42	18
359	48	394	58	18
360	61	393	46	18
361	63	388	49	18
362	58	391	51	18
363	47	392	61	18
364	65	391	44	18
365	66	388	46	18
366	49	392	59	18
367	64	390	46	18
368	60	388	52	18
369	60	397	43	18
370	56	388	56	18
371	64	389	47	18
372	64	389	47	18
373	61	389	50	18
374	60	390	50	18
375	60	392	48	18
376	62	391	47	18
377	53	391	56	18
378	59	388	53	18
379	56	389	55	18
380	62	391	47	18
381	54	387	59	18
382	63	391	46	18
383	63	393	44	18
384	60	393	47	18
385	61	387	52	18
386	62	390	48	18
387	53	393	54	18
388	52	391	57	18
389	55	391	54	18
390	60	388	52	18
391	51	391	58	18
392	61	391	48	18
393	59	396	45	18
394	62	391	47	18
395	53	390	57	18
396	55	389	56	18
397	59	394	47	18
398	58	390	52	18
399	64	387	49	18
400	58	392	50	18
401	66	389	45	18
402	58	392	50	18
403	63	393	44	18
404	58	396	46	18
405	50	391	59	18
406	54	390	56	18
407	61	391	48	18
408	59	389	52	18
409	55	390	55	18
410	53	395	52	18
411	66	390	44	18
412	56	391	53	18
413	54	390	56	18
414	58	392	50	18
415	54	392	54	18
416	61	390	49	18
417	62	393	45	18
418	60	387	53	18
419	55	389	56	18
420	57	390	53	18
421	68	390	42	18
422	59	389	52	18
423	71	388	41	18
424	56	395	49	18
425	65	391	44	18
426	61	389	50	18
427	58	393	49	18
428	59	394	47	18
