Round	Out	Left	Right	Game Type
1	199	135	166	8
2	207	121	172	8
3	187	143	170	8
4	205	129	166	8
5	217	124	159	8
6	216	117	167	8
7	214	124	162	8
8	219	114	167	8
9	211	111	178	8
10	219	114	167	8
11	222	122	156	8
12	193	144	163	8
13	206	135	159	8
14	200	134	166	8
15	208	131	161	8
16	204	130	166	8
17	202	127	171	8
18	190	141	169	8
19	208	123	169	8
20	214	128	158	8
21	200	144	156	8
22	205	125	170	8
23	209	124	167	8
24	198	141	161	8
25	207	129	164	8
26	199	137	164	8
27	199	149	152	8
28	196	137	167	8
29	184	156	160	8
30	204	142	154	8
31	201	141	158	8
32	200	142	158	8
33	214	122	164	8
34	191	150	159	8
35	199	140	161	8
36	220	117	163	8
37	194	151	155	8
38	199	140	161	8
39	200	136	164	8
40	191	141	168	8
41	209	122	169	8
42	200	126	174	8
43	194	152	154	8
44	221	116	163	8
45	202	131	167	8
46	209	119	172	8
47	204	136	160	8
48	212	134	154	8
49	216	112	172	8
50	201	137	162	8
51	198	137	165	8
52	201	138	161	8
53	206	127	167	8
54	201	153	146	8
55	213	114	173	8
56	195	141	164	8
57	207	128	165	8
58	196	139	165	8
59	204	137	159	8
60	198	142	160	8
61	202	138	160	8
62	197	135	168	8
63	198	133	169	8
64	204	134	162	8
65	200	136	164	8
66	199	142	159	8
67	194	142	164	8
68	205	132	163	8
69	200	135	165	8
70	195	152	153	8
71	197	144	159	8
72	200	142	158	8
73	215	119	166	8
74	205	134	161	8
75	193	143	164	8
76	205	138	157	8
77	192	140	168	8
78	201	137	162	8
79	211	132	157	8
80	206	124	170	8
81	197	140	163	8
82	203	129	168	8
83	194	150	156	8
84	211	126	163	8
85	196	147	157	8
86	187	156	157	8
87	197	141	162	8
88	188	147	165	8
89	195	146	159	8
90	208	128	164	8
91	207	130	163	8
92	192	149	159	8
93	210	127	163	8
94	199	140	161	8
95	196	137	167	8
96	188	145	167	8
97	206	133	161	8
98	192	144	164	8
99	193	150	157	8
100	212	121	167	8
101	200	143	157	8
102	202	135	163	8
103	191	149	160	8
104	203	130	167	8
105	194	153	153	8
106	214	120	166	8
107	208	131	161	8
108	210	128	162	8
109	206	130	164	8
110	215	114	171	8
111	188	145	167	8
112	199	145	156	8
113	198	149	153	8
114	208	124	168	8
115	213	121	166	8
116	198	131	171	8
117	203	137	160	8
118	196	145	159	8
119	214	119	167	8
120	210	127	163	8
121	196	152	152	8
122	199	136	165	8
123	192	144	164	8
124	208	135	157	8
125	205	121	174	8
126	205	135	160	8
127	192	150	158	8
128	186	145	169	8
129	193	147	160	8
130	210	130	160	8
131	216	119	165	8
132	208	115	177	8
133	194	125	181	8
134	211	126	163	8
135	202	137	161	8
136	211	127	162	8
137	198	139	163	8
138	216	125	159	8
139	202	128	170	8
140	201	152	147	8
141	192	141	167	8
142	196	144	160	8
143	196	133	171	8
144	198	144	158	8
145	205	131	164	8
146	217	124	159	8
147	195	151	154	8
148	206	135	159	8
149	211	120	169	8
150	186	148	166	8
151	200	121	179	8
152	190	146	164	8
153	191	137	172	8
154	213	121	166	8
155	199	148	153	8
156	200	141	159	8
157	214	129	157	8
158	205	132	163	8
159	198	137	165	8
160	200	134	166	8
161	206	134	160	8
162	207	125	168	8
163	197	143	160	8
164	205	139	156	8
165	207	130	163	8
166	203	135	162	8
167	204	122	174	8
168	205	126	169	8
169	219	116	165	8
170	201	133	166	8
171	207	131	162	8
172	194	149	157	8
173	219	126	155	8
174	212	127	161	8
175	193	133	174	8
176	198	140	162	8
177	194	146	160	8
178	202	140	158	8
179	211	141	148	8
180	199	128	173	8
181	201	136	163	8
182	198	133	169	8
183	203	143	154	8
184	200	139	161	8
185	207	135	158	8
186	198	147	155	8
187	201	138	161	8
188	203	134	163	8
189	201	135	164	8
190	203	126	171	8
191	209	119	172	8
192	198	134	168	8
193	198	145	157	8
194	204	130	166	8
195	204	120	176	8
196	201	132	167	8
197	210	116	174	8
198	196	137	167	8
199	197	138	165	8
200	200	134	166	8
201	209	140	151	8
202	205	122	173	8
203	206	126	168	8
204	190	160	150	8
205	202	139	159	8
206	183	158	159	8
207	196	140	164	8
208	194	135	171	8
209	202	132	166	8
210	194	137	169	8
211	203	136	161	8
212	197	136	167	8
213	202	135	163	8
214	207	124	169	8
215	213	126	161	8
216	201	132	167	8
217	210	127	163	8
218	189	138	173	8
219	195	143	162	8
220	196	139	165	8
221	204	142	154	8
222	199	137	164	8
223	201	145	154	8
224	205	134	161	8
225	203	135	162	8
226	211	129	160	8
227	193	139	168	8
228	211	126	163	8
229	207	132	161	8
230	198	137	165	8
231	200	130	170	8
232	190	157	153	8
233	188	144	168	8
234	205	135	160	8
235	210	125	165	8
236	204	122	174	8
237	207	127	166	8
238	213	116	171	8
239	207	137	156	8
240	198	134	168	8
241	200	138	162	8
242	185	149	166	8
243	186	149	165	8
244	199	124	177	8
245	204	123	173	8
246	183	147	170	8
247	204	133	163	8
248	201	141	158	8
249	199	135	166	8
250	207	136	157	8
251	221	115	164	8
252	196	134	170	8
253	199	141	160	8
254	206	128	166	8
255	184	154	162	8
256	207	134	159	8
257	204	134	162	8
258	201	133	166	8
259	211	122	167	8
260	192	135	173	8
261	200	136	164	8
262	200	140	160	8
263	212	125	163	8
264	189	142	169	8
265	216	130	154	8
266	203	136	161	8
267	209	130	161	8
268	192	147	161	8
269	200	132	168	8
270	204	131	165	8
271	206	130	164	8
272	201	131	168	8
273	207	113	180	8
274	210	131	159	8
275	195	142	163	8
276	213	114	173	8
277	220	117	163	8
278	213	122	165	8
279	199	139	162	8
280	204	132	164	8
281	205	128	167	8
282	203	132	165	8
283	203	138	159	8
284	199	139	162	8
285	199	139	162	8
286	196	147	157	8
287	198	133	169	8
288	198	137	165	8
289	205	134	161	8
290	207	136	157	8
291	212	121	167	8
292	197	143	160	8
293	195	131	174	8
294	209	127	164	8
295	193	143	164	8
296	193	135	172	8
297	203	135	162	8
298	199	140	161	8
299	195	144	161	8
300	212	130	158	8
301	200	131	169	8
302	191	150	159	8
303	214	119	167	8
304	206	138	156	8
305	208	128	164	8
306	204	130	166	8
307	212	128	160	8
308	198	136	166	8
309	225	119	156	8
310	200	127	173	8
311	205	130	165	8
312	202	142	156	8
313	196	152	152	8
314	201	131	168	8
315	211	130	159	8
316	186	161	153	8
317	193	145	162	8
318	209	128	163	8
319	208	120	172	8
320	207	126	167	8
321	204	127	169	8
322	203	139	158	8
323	191	146	163	8
324	208	128	164	8
325	196	136	168	8
326	186	154	160	8
327	202	143	155	8
328	205	122	173	8
329	196	134	170	8
330	204	145	151	8
331	214	123	163	8
332	207	135	158	8
333	198	141	161	8
334	208	133	159	8
335	213	117	170	8
336	205	132	163	8
337	208	128	164	8
338	208	127	165	8
339	209	138	153	8
340	208	132	160	8
341	188	158	154	8
342	208	126	166	8
343	200	138	162	8
344	191	136	173	8
345	208	127	165	8
346	197	138	165	8
347	192	146	162	8
348	188	137	175	8
349	215	120	165	8
350	204	138	158	8
351	187	151	162	8
352	190	147	163	8
353	206	120	174	8
354	186	157	157	8
355	194	141	165	8
356	197	135	168	8
357	190	146	164	8
358	203	138	159	8
359	193	133	174	8
360	204	138	158	8
361	206	136	158	8
362	198	135	167	8
363	204	124	172	8
364	217	124	159	8
365	196	137	167	8
366	207	132	161	8
367	201	132	167	8
368	200	125	175	8
369	202	142	156	8
370	206	129	165	8
371	214	123	163	8
372	196	144	160	8
373	200	144	156	8
374	190	159	151	8
375	187	154	159	8
376	206	134	160	8
377	199	151	150	8
378	191	141	168	8
379	185	161	154	8
380	189	140	171	8
381	211	130	159	8
382	207	131	162	8
383	200	137	163	8
384	198	135	167	8
385	214	119	167	8
386	200	138	162	8
387	206	134	160	8
388	214	126	160	8
389	206	126	168	8
390	206	140	154	8
391	200	145	155	8
392	183	151	166	8
393	213	114	173	8
394	204	134	162	8
395	204	129	167	8
396	206	133	161	8
397	205	131	164	8
398	207	128	165	8
399	211	130	159	8
400	204	141	155	8
401	207	121	172	8
402	194	143	163	8
403	179	158	163	8
404	199	141	160	8
405	209	136	155	8
406	203	130	167	8
407	221	122	157	8
408	201	140	159	8
409	200	141	159	8
410	201	137	162	8
411	206	129	165	8
412	196	137	167	8
413	193	142	165	8
414	215	129	156	8
415	211	128	161	8
416	204	125	171	8
417	193	155	152	8
418	208	126	166	8
419	209	128	163	8
420	202	138	160	8
421	188	156	156	8
422	211	131	158	8
423	200	130	170	8
424	190	150	160	8
425	210	121	169	8
426	203	135	162	8
427	200	133	167	8
428	201	133	166	8
429	208	134	158	8
430	209	127	164	8
431	214	125	161	8
432	205	136	159	8
433	205	139	156	8
434	218	124	158	8
435	194	149	157	8
436	194	147	159	8
437	201	137	162	8
438	197	137	166	8
439	207	125	168	8
440	196	143	161	8
441	209	125	166	8
442	217	119	164	8
443	205	134	161	8
444	193	140	167	8
445	193	151	156	8
446	214	126	160	8
447	209	131	160	8
448	214	113	173	8
449	208	122	170	8
450	209	129	162	8
451	202	137	161	8
452	204	131	165	8
453	217	109	174	8
454	195	132	173	8
455	218	119	163	8
456	196	138	166	8
457	204	131	165	8
458	206	138	156	8
459	213	121	166	8
460	201	137	162	8
461	198	134	168	8
462	202	135	163	8
463	204	136	160	8
464	214	123	163	8
465	205	142	153	8
466	212	126	162	8
467	197	150	153	8
468	200	133	167	8
469	208	125	167	8
470	207	130	163	8
471	205	138	157	8
472	202	134	164	8
473	198	131	171	8
474	202	128	170	8
475	201	149	150	8
476	208	126	166	8
477	205	127	168	8
478	210	128	162	8
479	196	141	163	8
480	199	135	166	8
481	197	136	167	8
482	215	110	175	8
483	203	130	167	8
484	206	135	159	8
485	192	140	168	8
486	205	123	172	8
487	217	127	156	8
488	203	133	164	8
489	195	143	162	8
490	197	134	169	8
491	192	145	163	8
492	217	121	162	8
493	200	137	163	8
494	200	140	160	8
495	194	142	164	8
496	196	137	167	8
497	219	128	153	8
498	203	137	160	8
499	202	137	161	8
500	207	123	170	8
501	192	145	163	8
502	207	124	169	8
503	214	120	166	8
504	206	125	169	8
505	204	123	173	8
506	212	125	163	8
507	203	131	166	8
508	207	129	164	8
509	203	136	161	8
510	211	127	162	8
511	200	136	164	8
